,date,fips,cases,deaths,Jan Temp AVG / F,Feb Temp AVG / F,Mar Temp AVG / F,Apr Temp AVG / F,May Temp AVG / F,Jun Temp AVG / F,Jul Temp AVG / F,Aug Temp AVG / F,Sep Temp AVG / F,Oct Temp AVG / F,Nov Temp AVG / F,Dec Temp AVG / F,FIPS,Density per square mile of land area - Population,Total_age0to17,Total_age85plusr,Total_age65plus,Total_age18to64,Percent of adults with a bachelor's degree or higher 2014-18,Less than a high school diploma 2014-18,Unemployment_rate_2018,Median_Household_Income_2018,Active Physicians per 100000 Population 2018 (AAMC),MD and DO Student Enrollment per 100000 Population AY 2018-2019 (AAMC),Total nurse practitioners (2019),ICU Beds,transit_scores - population weighted averages aggregated from town/city level to county,fips code,state,county,2013 NCHS scheme,High_risk_by_deaths,High_risk_by_cases
65,7/25/20,13133,203,11,45.6,52.4,54.2,62.8,74.9,76.5,81.2,79.8,78.8,67.6,51.3,50.1,13133,41.3,3302.0,411.0,5142.0,9254.0,25.8,2133,4.2,54016.0,228.7,28.6,8.100772139,0.0,0.0,13133,GA ,Greene County ,Noncore ,1,0
66,7/25/20,13135,15134,216,43.3,50.5,51.9,61.3,73.0,74.7,79.4,78.7,78.1,65.7,50.0,48.5,13135,1871.2,249129.0,8037.0,93264.0,585388.0,36.1,70656,3.5,72008.0,228.7,28.6,424.66620389999997,82.0,1538743908.0,13135,GA ,Gwinnett County ,Large fringe metro ,1,1
67,7/25/20,13137,931,48,41.5,49.1,49.8,60.0,70.8,71.9,76.8,75.7,74.7,63.8,48.2,46.8,13137,155.5,10191.0,818.0,8238.0,26959.0,18.7,6464,3.7,51829.0,228.7,28.6,20.77510712,4.0,0.0,13137,GA ,Habersham County ,Micropolitan ,1,1
68,7/25/20,13139,4845,71,42.6,49.5,51.0,60.3,72.0,73.5,78.5,77.4,76.8,65.1,49.4,47.8,13139,457.5,51265.0,3165.0,30106.0,120777.0,24.0,27479,3.2,61631.0,228.7,28.6,92.52768033,85.0,1836408122.0,13139,GA ,Hall County ,Small metro ,1,1
69,7/25/20,13141,255,34,47.0,53.9,55.0,63.4,75.4,77.3,81.4,80.7,78.8,69.1,51.4,50.6,13141,20.0,1294.0,243.0,1948.0,5106.0,8.8,1906,6.0,31716.0,228.7,28.6,3.821067116,0.0,0.0,13141,GA ,Hancock County ,Micropolitan ,1,0
70,7/25/20,13143,162,6,43.1,51.5,52.2,61.8,72.2,74.6,78.5,78.6,77.4,65.3,48.6,48.9,13143,102.0,7095.0,457.0,4773.0,17665.0,14.0,3799,3.9,47662.0,228.7,28.6,13.51791748,0.0,0.0,13143,GA ,Haralson County ,Large fringe metro ,0,0
71,7/25/20,13145,551,14,47.0,55.4,54.7,63.2,73.8,77.3,79.9,80.0,79.0,67.9,51.2,51.1,13145,69.0,7334.0,574.0,6476.0,20665.0,29.9,2166,3.4,74686.0,228.7,28.6,15.77998189,0.0,0.0,13145,GA ,Harris County ,Medium metro ,1,1
72,7/25/20,13147,198,0,44.1,50.4,52.1,62.2,73.7,75.5,80.3,79.1,78.0,66.7,49.4,48.4,13147,108.5,5471.0,583.0,5639.0,14989.0,15.1,3598,3.6,47171.0,228.7,28.6,11.94609855,0.0,0.0,13147,GA ,Hart County ,Noncore ,0,0
73,7/25/20,13149,118,3,45.4,54.3,54.0,62.7,73.2,75.8,79.7,80.3,78.4,66.2,50.0,49.7,13149,40.0,2694.0,201.0,2074.0,7111.0,9.8,1665,3.9,46218.0,228.7,28.6,5.437285131,0.0,0.0,13149,GA ,Heard County ,Large fringe metro ,0,0
74,7/25/20,13151,2547,38,45.5,53.3,54.4,62.5,74.7,76.6,80.7,81.0,79.8,67.4,51.3,50.5,13151,633.0,58952.0,2082.0,26816.0,144452.0,28.3,13591,4.1,72970.0,228.7,28.6,105.37686529999999,40.0,222987116.0,13151,GA ,Henry County ,Large fringe metro ,1,1
